_id,head,normalized_head
1,qa1,a
3,qa1,-a
4,qa(1,-a(←)
5,qa1,a
6,qaq1,a
7,0,a
8,qa0ba1,aba
9,qa0ba1,aba
11,qa0ba0qa1,abaa
12,qa0bab1,abab
13,ta0ga0qa0bad1,tagaabad
14,pa0ka0ta0ga0qa0bad1,pakatagaabad
16,qab2qab0,ab-ab
17,qa0bad1,abad
18,qa2bag0,abag
19,ka0qa2bag0,kaabag
20,qa0ba0ga1,abaga
21,qa0ba2ga0,abaga
22,qa0ba0ga1,abaga
23,pa0ŋa0ba2ga0,pangabaga
24,qa0ba0ga2hun0,abagahun
25,qa0ba2hu0,abahu
28,qa0ba0ka1,abaka
29,qa0ba0ka0han1,abakahan
30,qa0ba0kan2han0,abakanhan
31,qa0ba0kal1,abakal
32,qa0ba0ka2da0,abakada
33,qa0ba0kal1,abakal
34,qa0bal1,abal
35,qa0ba0lu1,abalu
36,qa0bal0wa0si0yun1,abalwasiyun
37,qa0ban0du0nar1,abandunar
38,qa0ban0du0na2du0,abandunadu
39,qa0ban0du2nu0,abandunu
40,qa2baŋ0,abang
41,pa0ŋa2baŋ0,pangabang
42,qa0ba0ŋan1,abangan
43,qa0ba0ŋan1,abangan
44,qa0ba2nid0,abanid
45,qa0ba0ni2ku0,abaniku
47,pa0ŋa0ba0ni2ku0,pangabaniku
48,qi0na0ba0ni2ku0,inabaniku
49,qa0ban0sa2da0,abansada
50,qa0ban2si0,abansi
52,qa0ban2sin0,abansin
53,qa0ban2ti0,abanti
55,qa0ba2nu0,abanu
56,pa0ŋa0ba2nu0,pangabanu
57,qa0bat1,abat
58,qa0lab2tan0,alabtan
59,qab0ta0nan1,abtanan
60,qa0lab2tun0,alabtun
61,qa0bat0qa2bat0,abat-abat
62,qa2bat0,abat
63,qa0ba0tan1,abatan
64,qa2bat0,abat
65,qa0bay1,abay
67,ma0ŋa0la2bay0,mangalabay
68,ma0ŋa0qa0bay1,mangaabay
69,qa0ba0yan1,abayan
70,qab0ya0nan1,abyanan
71,qab2yan0,abyan
72,qab2gaw0,abgaw
73,qab0ga0wun1,abgawun
74,qab2hak0,abhak
75,qab2hul0,abhul
76,qab2huŋ0,abhung
77,qab0hu0ŋun1,abhungun
78,qa0bi1,abi
79,qa2bi0,abi
84,qa0bi0qa2bi0,abiabi
85,ma0qa0bi0qa0bi2hun0,maabiabihun
86,maŋ0gi0qa0bi0qa0bi2hun0,manggiabiabihun
87,qa0bi2ba0,abiba
88,qa0bi0bar1,abibar
89,ma0qa0bi0ba2hun0,maabibahun
90,qa0bi2hid0,abihid
91,qa0bi0lay1,abilay
92,qa0bi0li0dad1,abilidad
93,qa0bi0li0da0ran1,abilidaran
94,qa0bil0ya2na0,abilyana
95,qa2bin0,abin
96,ka0qa2bin0,kaabin
97,qa0bin0tu2ra0,abintura
98,qa0bin0tu0rar1,abinturar
99,qa0bin0tu0ri2ru0,abinturiru
100,qa0bin0tu0ri2ra0,abinturira
101,qa0bin0tu0ris2ta0,abinturista
102,qa0bir1,abir
103,qa0bi0rid1,abirids
104,qa0bi0ri2ya0,abiriya
105,qa0bir2tu0,abirtu
106,qa0bis1,abis
107,pa0ŋa0bis1,pangabis
108,qa0bi2su0,abisu
109,qa0bit0suy2las0,abitsuylas
110,qa0bi0tu1,abitu
111,qa0bi2yu0,abiyu
112,qa0bi0yun1,abiyun
113,ka0qabi0yu0nan0,kaabiyunan
114,qab2kay0,abkay
115,qab2la0,abla
116,pa0ŋab2la0,pangabla
117,qab0la2du0,abladu
118,qab0la2sa0,ablasa
119,qab2li0,abli
120,0,abr.
121,qab2rap0,abrap
122,qab0ra2sa0,abrasa
123,qab0ra0sa0dur1,abrasadur
124,qab0ra0si2ti0,abrasiti
125,qab0ras0yi2ti0,abrasyiti
126,qab2ri0,abri
127,qab0ri0dur1,abridur
128,qab2ri0,abri
129,qab0ri0ga2na0,abrigana
130,qab0ri0ga2wu0,abrigawu
131,qab0ri2gu0,abrigu
132,qAb0ril0,abril
133,qab0ri0la2ta0,abrilata
134,qab2sin0,absin
135,hi0ŋab2sin0,hingabsin
136,pa0la0qab2sin0,palaabsin
137,qab0si0ni2ru0,absiniru
138,qab0si0nus1,absinus
140,qab0si0nus1,absinus
141,qab0su0lu0si0yun1,absulusiyun
142,qab0su0wil2tu0,absuwiltu
143,qab2tik0,abtik
144,pa0ŋab2tik0,pangabtik
145,qab2tuŋ0,abtung
146,qa0bu1,abu
147,ka0qa2bu0,kaabu
148,qa0la0bu2han0,alabuhan
149,qa0bu0hun1,abuhun
150,qa0bu0qa2bu0,abuabu
151,qa0bub2hu0,abubhu
152,pa0ŋa0bub2hu0,pangabubhu
153,qa0bub0hu0qan1,abubhuan
154,ma0pa0ŋa0bub0hu2qun0,mapangabubhuun
155,qa0bud1,abud
156,qa2bud0,abud
157,qa0lab2dan0,alabdan
158,qa2bud0,abud
159,qa2bud0,abud
160,qa0bug1,abug
161,ka0qa2bug0,kaabug
162,qa0bu0gun1,abugun
163,qa0la0bu2gan0,alabugan
164,qa0bug1,abug
165,pa0ŋa0bug1,pangabug
166,qa2bug0,abug
167,qa0nug1,anug
168,qa0bu0gan1,abugan
169,qa2bug0,abug
170,qa0bu0ga2da0,abugada
171,qa0bu0ga2du0,abugadu
172,qa0bu0ga0du0hun1,abugaduhun
173,qa0bu0ga2gu0,abugagu
174,qa0bu0gar1,abugar
175,qa0bu0ga0si2ya0,abugasiya
176,qa0bug2hu0,abughu
177,qa0bug2huq0,abughu
178,qa0bu0ka2du0,abukadu
179,qa0bu2kay0,abukay
180,qa0bu0kay1,abukay
181,qa0bu0nan0si0ya1,abunansiya
182,qa0bun2da0,abunda
183,qa0bun0dan0si0ya1,abundansiya
184,qa2buŋ0,abung
185,qa0buŋ1,abung
186,pa0qa0buŋ1,paabung
187,pa0qa2buŋ0,paabung
188,pa0ŋa0buŋ1,pangabung
189,qa0bu0ŋaw1,abungaw
190,qa0bu0ŋaw1,abungaw
191,qa0bu2nu0,abunu
192,qa0bu0ri2du0,aburidu
194,pa0ŋi2sip0,pangisip
195,qa0bu0sa2da0,abusada
196,qa0bu0sa2du0,abusadu
197,qa0bu0sar1,abusar
198,qa0bu2su0,abusu
199,qa0but1,abut
201,qa2but0,abut
203,pa0qa2but0,paabut
204,qa0but0qa0but1,abut-abut
205,qa0but0qa2but0,abut-abut
206,si0ŋa0but1,singabut
207,qa0la0bu2tun0,alabutun
208,qa0lab2tan0,alabtan
209,qab0ta0nan1,abtanan
210,qa0la0bu2tan0,alabutan
211,qu0ma0qa2but0,umaabut
212,qu0ma0la2but0,umalabut
213,ta0li0qa0but1,taliabut
214,ta0li0qa2but0,taliabut
215,sa0li0qa0but1,saliabut
216,sa0li0qa2but0,saliabut
