head,modified_head
á,qá
qá,qá1
qá(←),qá(1
á,qá
áq,q0
ā̀́,0
abá,bá1
abá,bá1
abaá,ba0qá
abáb,báb1
tagaabád,ta0ga0qaa0qád
pakatagaabád,pa0ka0ta0ga0qaa0qád
ábqab,qábqab0
abád,bád1
ábag,bag0
kaábag,ka0qaáqag0
abagá,ba0gá1
abága,bá2ga0
abagá,ba0gá1
paŋabága,pa0ŋa0bá2ga0
abagáhun,ba0gá2hun0
abáhu,bá2hu0
abaká,ba0ká1
abakahán,ba0ka0hán1
abakánhan,ba0kán2han0
abakál,ba0kál1
abakáda,ba0ká2da0
abakál,ba0kál1
abál,bál1
abalú,ba0lú1
abalwasiyún,bal0wa0si0yún1
abandunár,ban0du0nár1
abandunádu,ban0du0ná2du0
abandúnu,ban0dú2nu0
ábaŋ,baŋ0
paŋábaŋ,pa0ŋá2baŋ0
abaŋán,ba0ŋán1
abaŋán,ba0ŋán1
abánid,bá2nid0
abaníku,ba0ní2ku0
paŋabaníku,pa0ŋa0ba0ní2ku0
inabaníku,na0ba0ní2ku0
abansáda,ban0sá2da0
abánsi,bán2si0
abánsin,bán2sin0
abánti,bán2ti0
abánu,bá2nu0
paŋabánu,pa0ŋa0bá2nu0
abát,bát1
alábtan,láb2tan0
abtanán,qab0ta0nán1
alábtun,láb2tun0
abatqábat,bat0qá2bat0
ábat,bat0
abatán,ba0tán1
ábat,bat0
abáy,báy1
maŋalábay,ma0ŋa0lá2bay0
maŋaabáy,ma0ŋa0qaa0qáy
abayán,ba0yán1
abyanán,qab0ya0nán1
ábyan,qábyan0
ábgaw,qábgaw0
abgawún,qab0ga0wún1
ábhak,qábhak0
ábhul,qábhul0
ábhuŋ,qábhuŋ0
abhuŋún,qab0hu0ŋún1
abí,bí1
ábi,bi0
abiábi,bi0qiáqi0
maabiabíhun,ma0qaa0bi0qia0bí2qun0
maŋgiabiabíhun,maŋ0gi0qia0bi0qia0bí2qun0
abíba,bí2ba0
abibár,bi0bár1
maabibáhun,ma0qaa0bi0bá2qun0
abíhid,bí2hid0
abiláy,bi0láy1
abilidád,bi0li0dád1
abilidarán,bi0li0da0rán1
abilyána,bil0yá2na0
ábin,bin0
