_id,head,normalized_head
1,a,a
2,walay a,walay a
3,-a,-a
4,-a(←),-a(←)
5,á,a
6,à,a
7,ā̀,a
8,aba,aba
9,aba,aba
10,ábà tuy,aba tuy
11,abaa,abaa
12,abab,abab
13,tagaabad,tagaabad
14,pakatagaabad,pakatagaabad
15,abab disáya,abab disaya
16,ab-ab,ab-ab
17,abad,abad
18,ábag,abag
19,kaábag,kaabag
20,abaga,abaga
21,abága,abaga
22,abaga,abaga
23,pangabága,pangabaga
24,abagáhun,abagahun
25,abáhu,abahu
26,abáhu kunsidirasiyun,abahu kunsidirasiyun
27,abáhu dispusisiyun,abahu dispusisiyun
28,abaka,abaka
29,abakahan,abakahan
30,abakanhan,abakanhan
31,abakal,abakal
32,abakáda,abakada
33,abakal,abakal
34,abal,abal
35,abalu,abalu
36,abalwasiyun,abalwasiyun
37,abandunar,abandunar
38,abandunádu,abandunadu
39,abandúnu,abandunu
40,ábang,abang
41,pangábang,pangabang
42,abangan,abangan
43,abangan,abangan
44,abánid,abanid
45,abaníku,abaniku
46,kurta diabaníku,kurta diabaniku
47,pangabaníku,pangabaniku
48,inabaníku,inabaniku
49,abansáda,abansada
50,abansi,abansi
51,miting di abansi,miting di abansi
52,abansin,abansin
53,abanti,abanti
54,atras abanti,atras abanti
55,abánu,abanu
56,pangabánu,pangabanu
57,abat,abat
58,alabtan,alabtan
59,abtanan,abtanan
60,alabtun,alabtun
61,abat-ábat,abat-abat
62,ábat,abat
63,abatan,abatan
64,ábat,abat
65,abay,abay
66,abay ug sawa,abay ug sawa
67,mangalábay,mangalabay
68,mangaabay,mangaabay
69,abayan,abayan
70,abyanan,abyanan
71,abyan,abyan
72,abgaw,abgaw
73,abgawun,abgawun
74,abhak,abhak
75,abhul,abhul
76,abhung,abhung
77,abhungun,abhungun
78,abi,abi
79,ábi,abi
80,ábi [gen.],abi [gen.]
81,ábi nímu,abi nimu
82,ábi kay,abi kay
83,ábi na lang,abi na lang
84,abiábi,abiabi
85,maabiabíhun,maabiabihun
86,manggiabiabíhun,manggiabiabihun
87,abíba,abiba
88,abibar,abibar
89,maabibáhun,maabibahun
90,abíhid,abihid
91,abilay,abilay
92,abilidad,abilidad
93,abilidaran,abilidaran
94,abilyána,abilyana
95,ábin,abin
96,kaábin,kaabin
97,abintúra,abintura
98,abinturar,abinturar
99,abinturíru,abinturiru
100,abinturíra,abinturira
101,abinturista,abinturista
102,abir,abir
103,abirids,abirids
104,abiríya,abiriya
105,abirtu,abirtu
106,abis,abis
107,pangabis,pangabis
108,abísu,abisu
109,abitsuylas,abitsuylas
110,abitu,abitu
111,abíyu,abiyu
112,abiyun,abiyun
113,kaábiyunan,kaabiyunan
114,abkay,abkay
115,abla,abla
116,pangabla,pangabla
117,abládu,abladu
118,ablása,ablasa
119,abli,abli
120,Abr.,abr.
121,abrap,abrap
122,abrása,abrasa
123,abrasadur,abrasadur
124,abrasíti,abrasiti
125,abrasyíti,abrasyiti
126,abri,abri
127,abridur,abridur
128,abri,abri
129,abrigána,abrigana
130,abrigáwu,abrigawu
131,abrígu,abrigu
132,Abril,abril
133,abriláta,abrilata
134,absin,absin
135,hingabsin,hingabsin
136,palaabsin,palaabsin
137,absiníru,absiniru
138,absinus,absinus
139,absin mayindid,absin mayindid
140,absinus,absinus
141,absulusiyun,absulusiyun
142,absuwiltu,absuwiltu
143,abtik,abtik
144,pangabtik,pangabtik
145,abtung,abtung
146,abu,abu
147,kaábu,kaabu
148,alabúhan,alabuhan
149,abuhun,abuhun
150,abuábu,abuabu
151,abubhu,abubhu
152,pangabubhu,pangabubhu
153,abubhuan,abubhuan
154,mapangabubhúun,mapangabubhuun
155,abud,abud
156,ábud,abud
157,alabdan,alabdan
158,ábud,abud
159,ábud,abud
160,abug,abug
161,kaábug,kaabug
162,abugun,abugun
163,alabúgan,alabugan
164,abug,abug
165,pangabug,pangabug
166,ábug,abug
167,anug,anug
168,abugan,abugan
169,ábug,abug
170,abugáda,abugada
171,abugádu,abugadu
172,abugaduhun,abugaduhun
173,abugágu,abugagu
174,abugar,abugar
175,abugasíya,abugasiya
176,abughu,abughu
177,abughù,abughu
178,abukádu,abukadu
179,abúkay,abukay
180,abukay,abukay
181,abunansiya,abunansiya
182,abunda,abunda
183,abundansiya,abundansiya
184,ábung,abung
185,abung,abung
186,paabung,paabung
187,paábung,paabung
188,pangabung,pangabung
189,abungaw,abungaw
190,abungaw,abungaw
191,abúnu,abunu
192,aburídu,aburidu
193,aburídu ang úlu,aburidu ang ulu
194,pangísip,pangisip
195,abusáda,abusada
196,abusádu,abusadu
197,abusar,abusar
198,abúsu,abusu
199,abut,abut
200,abut sa hunàhúnà,abut sa hunahuna
201,ábut,abut
202,abut ang ginháwa,abut ang ginhawa
203,paábut,paabut
204,abut-abut,abut-abut
205,abut-ábut,abut-abut
206,singabut,singabut
207,alabútun,alabutun
208,alabtan,alabtan
209,abtanan,abtanan
210,alabútan,alabutan
211,umaábut,umaabut
212,umalábut,umalabut
213,taliabut,taliabut
214,taliábut,taliabut
215,saliabut,saliabut
216,saliábut,saliabut
217,abwag,abwag
218,abyadur,abyadur
219,abyan,abyan
220,abyasiyun,abyasiyun
221,abyasyun,abyasyun
222,abyirtu,abyirtu
223,abyirtu,abyirtu
224,abyug,abyug
225,A.D.,a.d.
226,ád,ad
227,ád,ad
228,ada,ada
229,ada uruy,ada uruy
230,ada uy,ada uy
231,áda,ada
232,adá,ada
233,ad-ad,ad-ad
234,ad-aran,ad-aran
235,Adan,adan
236,adbans,adbans
237,adbans gard,adbans gard
238,adbaysir,adbaysir
239,klas adbaysir,klas adbaysir
240,idituryal adbaysir,idituryal adbaysir
241,adbintista,adbintista
242,adbirbiyu,adbirbiyu
243,Adbiyintu,adbiyintu
244,adgaw,adgaw
245,adía,adia
246,día,dia
247,ádik,adik
248,adilantádu,adilantadu
249,adilantar,adilantar
250,adilantu,adilantu
251,kaadilantúhan,kaadilantuhan
252,adilpa,adilpa
253,adimas,adimas
